country_code,year,mpd_gdp
AFG,1960,1326
AFG,1961,1309
AFG,1962,1302
AFG,1963,1298
AFG,1964,1291
AFG,1965,1290
AFG,1966,1272
AFG,1967,1277
AFG,1968,1290
AFG,1969,1278
AFG,1970,1272
AFG,1971,1237
AFG,1972,1007
AFG,1973,1011
AFG,1974,1039
AFG,1975,1074
AFG,1976,1105
AFG,1977,1022
AFG,1978,1070
AFG,1979,1023
AFG,1980,1019
AFG,1981,1144
AFG,1982,1270
AFG,1983,1347
AFG,1984,1337
AFG,1985,1304
AFG,1986,1344
AFG,1987,1211
AFG,1988,1101
AFG,1989,999
AFG,1990,963
AFG,1991,881.1704
AFG,1992,843.8753
AFG,1993,578.4027
AFG,1994,428.4246
AFG,1995,632.9404
AFG,1996,600.1753
AFG,1997,570.5981
AFG,1998,545.0388
AFG,1999,518.6579
AFG,2000,502.3727
AFG,2001,489.682
AFG,2002,796.8166
AFG,2003,842.8052
AFG,2004,869.0393
AFG,2005,964.4081
AFG,2006,1057.0966
AFG,2007,1259.9967
AFG,2008,1319.6074
AFG,2009,1557.3206
AFG,2010,1627.6716
AFG,2011,1792
AFG,2012,1945
AFG,2013,2025
AFG,2014,2022
AFG,2015,1928
AFG,2016,1929
AFG,2017,2014.7453
AFG,2018,1934.555
AGO,1960,1997
AGO,1961,2225
AGO,1962,2128
AGO,1963,2200
AGO,1964,2407
AGO,1965,2544
AGO,1966,2646
AGO,1967,2753
AGO,1968,2665
AGO,1969,2695
AGO,1970,2818
AGO,1971,2754
AGO,1972,2729
AGO,1973,2852
AGO,1974,2727
AGO,1975,1710
AGO,1976,1521
AGO,1977,1500
AGO,1978,1530
AGO,1979,1527
AGO,1980,1532
AGO,1981,1471
AGO,1982,1374
AGO,1983,1288
AGO,1984,1259
AGO,1985,1242
AGO,1986,1106
AGO,1987,1211
AGO,1988,1360
AGO,1989,1360
AGO,1990,1384
AGO,1991,1437.1472
AGO,1992,1389.3295
AGO,1993,1080.4806
AGO,1994,1120.8482
